Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification,group
1,Uruguay,3,3,0,0,5,0,+5,9,Advance to knockout stage,A
2,Russia (H),3,2,0,1,8,4,+4,6,Advance to knockout stage,A
3,Saudi Arabia,3,1,0,2,2,7,−5,3,,A
4,Egypt,3,0,0,3,2,6,−4,0,,A
1,Spain,3,1,2,0,6,5,+1,5,Advance to knockout stage,B
2,Portugal,3,1,2,0,5,4,+1,5,Advance to knockout stage,B
3,Iran,3,1,1,1,2,2,0,4,,B
4,Morocco,3,0,1,2,2,4,−2,1,,B
1,France,3,2,1,0,3,1,+2,7,Advance to knockout stage,C
2,Denmark,3,1,2,0,2,1,+1,5,Advance to knockout stage,C
3,Peru,3,1,0,2,2,2,0,3,,C
4,Australia,3,0,1,2,2,5,−3,1,,C
1,Croatia,3,3,0,0,7,1,+6,9,Advance to knockout stage,D
2,Argentina,3,1,1,1,3,5,−2,4,Advance to knockout stage,D
3,Nigeria,3,1,0,2,3,4,−1,3,,D
4,Iceland,3,0,1,2,2,5,−3,1,,D
1,Brazil,3,2,1,0,5,1,+4,7,Advance to knockout stage,E
2,Switzerland,3,1,2,0,5,4,+1,5,Advance to knockout stage,E
3,Serbia,3,1,0,2,2,4,−2,3,,E
4,Costa Rica,3,0,1,2,2,5,−3,1,,E
1,Sweden,3,2,0,1,5,2,+3,6,Advance to knockout stage,F
2,Mexico,3,2,0,1,3,4,−1,6,Advance to knockout stage,F
3,South Korea,3,1,0,2,3,3,0,3,,F
4,Germany,3,1,0,2,2,4,−2,3,,F
1,Belgium,3,3,0,0,9,2,+7,9,Advance to knockout stage,G
2,England,3,2,0,1,8,3,+5,6,Advance to knockout stage,G
3,Tunisia,3,1,0,2,5,8,−3,3,,G
4,Panama,3,0,0,3,2,11,−9,0,,G
1,Colombia,3,2,0,1,5,2,+3,6,Advance to knockout stage,H
2,Japan,3,1,1,1,4,4,0,4[a],Advance to knockout stage,H
3,Senegal,3,1,1,1,4,4,0,4[a],,H
4,Poland,3,1,0,2,2,5,−3,3,,H
