Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification,group
1,Uruguay,3,2,1,0,4,0,+4,7,Advance to knockout stage,A
2,Mexico,3,1,1,1,3,2,+1,4,Advance to knockout stage,A
3,South Africa (H),3,1,1,1,3,5,−2,4,,A
4,France,3,0,1,2,1,4,−3,1,,A
1,Argentina,3,3,0,0,7,1,+6,9,Advance to knockout stage,B
2,South Korea,3,1,1,1,5,6,−1,4,Advance to knockout stage,B
3,Greece,3,1,0,2,2,5,−3,3,,B
4,Nigeria,3,0,1,2,3,5,−2,1,,B
1,United States,3,1,2,0,4,3,+1,5,Advance to knockout stage,C
2,England,3,1,2,0,2,1,+1,5,Advance to knockout stage,C
3,Slovenia,3,1,1,1,3,3,0,4,,C
4,Algeria,3,0,1,2,0,2,−2,1,,C
1,Germany,3,2,0,1,5,1,+4,6,Advance to knockout stage,D
2,Ghana,3,1,1,1,2,2,0,4,Advance to knockout stage,D
3,Australia,3,1,1,1,3,6,−3,4,,D
4,Serbia,3,1,0,2,2,3,−1,3,,D
1,Netherlands,3,3,0,0,5,1,+4,9,Advance to knockout stage,E
2,Japan,3,2,0,1,4,2,+2,6,Advance to knockout stage,E
3,Denmark,3,1,0,2,3,6,−3,3,,E
4,Cameroon,3,0,0,3,2,5,−3,0,,E
1,Paraguay,3,1,2,0,3,1,+2,5,Advance to knockout stage,F
2,Slovakia,3,1,1,1,4,5,−1,4,Advance to knockout stage,F
3,New Zealand,3,0,3,0,2,2,0,3,,F
4,Italy,3,0,2,1,4,5,−1,2,,F
1,Brazil,3,2,1,0,5,2,+3,7,Advance to knockout stage,G
2,Portugal,3,1,2,0,7,0,+7,5,Advance to knockout stage,G
3,Ivory Coast,3,1,1,1,4,3,+1,4,,G
4,North Korea,3,0,0,3,1,12,−11,0,,G
1,Spain,3,2,0,1,4,2,+2,6,Advance to knockout stage,H
2,Chile,3,2,0,1,3,2,+1,6,Advance to knockout stage,H
3,Switzerland,3,1,1,1,1,1,0,4,,H
4,Honduras,3,0,1,2,0,3,−3,1,,H
